slide_name,slide_width,slide_height,slide_mag,slide_pw
DHMC_0030,43824,32383,19.84914648670107,508
DHMC_0113,85655,35306,19.888623707239457,509
DHMC_0107,49800,39563,19.888623707239457,509
DHMC_0075,35855,25173,19.888623707239457,509
DHMC_0085,35855,20512,19.888623707239457,509
DHMC_0082,49800,33022,19.888623707239457,509
DHMC_0061,55776,38376,19.888623707239457,509
DHMC_0100,27888,22630,19.84914648670107,508
DHMC_0044,45816,40605,19.84914648670107,508
DHMC_0076,51791,32189,19.888623707239457,509
DHMC_0087,47807,35736,19.888623707239457,509
DHMC_0109,49800,31469,19.888623707239457,509
DHMC_0066,83664,71769,39.5882818685669,1013
DHMC_0137,33864,30588,19.888623707239457,509
DHMC_0083,35855,30821,19.888623707239457,509
DHMC_0104,47808,23920,19.84914648670107,508
DHMC_0026,45815,24857,19.888623707239457,509
DHMC_0058,35856,35123,19.84914648670107,508
DHMC_0111,35855,33286,19.888623707239457,509
DHMC_0008,27888,30609,19.84914648670107,508
DHMC_0089,37848,42700,19.84914648670107,508
DHMC_0121,41831,23507,19.888623707239457,509
DHMC_0009,43824,25532,19.84914648670107,508
DHMC_0132,55776,42145,19.888623707239457,509
DHMC_0062,41831,42080,19.888623707239457,509
DHMC_0119,47807,43178,19.888623707239457,509
DHMC_0001,39839,30468,19.888623707239457,509
DHMC_0053,57768,28837,19.84914648670107,508
DHMC_0027,47807,23298,19.888623707239457,509
DHMC_0073,45815,30588,19.888623707239457,509
DHMC_0099,51792,36897,19.84914648670107,508
DHMC_0125,35855,25841,19.888623707239457,509
DHMC_0047,51792,37461,19.84914648670107,508
DHMC_0128,33864,33459,19.888623707239457,509
DHMC_0068,49800,33834,19.84914648670107,508
DHMC_0015,37848,37927,19.888623707239457,509
DHMC_0088,51792,34963,19.84914648670107,508
DHMC_0020,71712,73911,39.63535473642489,1014
DHMC_0096,41832,30046,19.84914648670107,508
DHMC_0055,43824,30691,19.84914648670107,508
DHMC_0120,47807,34420,19.888623707239457,509
DHMC_0135,51791,45119,19.888623707239457,509
DHMC_0126,29879,28741,19.888623707239457,509
DHMC_0065,43824,34613,19.888623707239457,509
DHMC_0106,39840,31416,19.84914648670107,508
DHMC_0034,45815,32142,19.888623707239457,509
DHMC_0056,47807,32947,19.888623707239457,509
DHMC_0052,51792,36736,19.84914648670107,508
DHMC_0031,41831,33724,19.888623707239457,509
DHMC_0101,47808,40524,19.84914648670107,508
DHMC_0018,31871,24059,19.888623707239457,509
DHMC_0041,45815,37055,19.888623707239457,509
DHMC_0080,49800,35608,19.84914648670107,508
